model,condition,scene_id,n,correct
NoMeta,TSCD 1.5,006822972,72,21
NoMeta,TSCD 1.5,006851471,61,25
NoMeta,TSCD 1.5,006936460,74,28
NoMeta,TSCD 1.5,006996816,82,27
NoMeta,TSCD 1.5,007024509,98,35
NoMeta,TSCD 1.5,007076375,43,15
NoMeta,TSCD 1.5,007212145,87,28
NoMeta,TSCD 1.5,007232498,43,20
NoMeta,TSCD 1.5,007278080,102,42
NoMeta,TSCD 1.5,007300765,61,20
NoMeta,TSCD 1.5,007471801,40,13
NoMeta,TSCD 1.5,007514324,71,21
NoMeta,TSCD 1.5,007585865,74,23
NoMeta,TSCD 1.5,007671565,76,33
NoMeta,TSCD 1.5,007756420,69,23
NoMeta,TSCD 1.5,007780102,60,24
NoMeta,TSCD 1.5,007784450,81,28
NoMeta,TSCD 1.5,007896150,84,19
NoMeta,TSCD 1.5,007991912,105,45
NoMeta,TSCD 1.5,007993799,70,26
NoMeta,TSCD 1.5,008006953,97,28
NoMeta,TSCD 1.5,008015461,60,27
NoMeta,TSCD 1.5,008042486,49,18
NoMeta,TSCD 1.5,008111392,34,19
NoMeta,TSCD 1.5,008147953,50,21
NoMeta,TSCD 1.5,008166157,32,15
NoMeta,TSCD 1.5,008231831,48,17
NoMeta,TSCD 1.5,008398120,91,27
NoMeta,TSCD 1.5,008412787,65,24
NoMeta,TSCD 1.5,008458832,79,23
NoMeta,TSCD 1.5,008603606,88,36
NoMeta,TSCD 1.5,008656441,95,23
NoMeta,TSCD 1.5,008760843,60,23
NoMeta,TSCD 1.5,008839143,63,21
NoMeta,TSCD 1.5,008850284,50,18
NoMeta,TSCD 1.5,008872583,78,39
NoMeta,TSCD 1.5,008912015,62,22
NoMeta,TSCD 1.5,008988794,30,12
NoMeta,TSCD 1.5,009039207,40,15
NoMeta,TSCD 1.5,009055777,62,21
NoMeta,TSCD 1.5,009129122,64,21
NoMeta,TSCD 1.5,009304015,52,20
NoMeta,TSCD 1.5,009320676,89,27
NoMeta,TSCD 1.5,009399980,46,23
NoMeta,TSCD 1.5,009469504,43,16
NoMeta,TSCD 1.5,009481802,90,29
NoMeta,TSCD 1.5,009501115,34,18
NoMeta,TSCD 1.5,009530324,76,31
NoMeta,TSCD 1.5,009539313,70,22
NoMeta,TSCD 1.5,009555605,33,9
NoMeta,TSCD 1.5,009771379,112,46
NoMeta,TSCD 1.5,009774483,61,24
Meta,Base,001000833,98,30
Meta,Base,001018437,79,24
Meta,Base,001082916,69,24
Meta,Base,001282585,72,27
Meta,Base,001320604,68,18
Meta,Base,001416770,35,17
Meta,Base,001544104,57,21
Meta,Base,001593463,90,34
Meta,Base,001722118,41,16
Meta,Base,001782394,81,25
Meta,Base,001863052,82,22
Meta,Base,002003262,82,21
Meta,Base,002039574,81,34
Meta,Base,002051969,19,8
Meta,Base,002079350,40,20
Meta,Base,002121102,37,13
Meta,Base,002222437,69,24
Meta,Base,002242917,65,32
Meta,Base,002335619,93,21
Meta,Base,002345590,48,18
Meta,Base,002367184,63,25
Meta,Base,002433679,81,26
Meta,Base,002440304,65,28
Meta,Base,002480472,98,29
Meta,Base,002633958,29,19
Meta,Base,002642553,66,19
Meta,Base,002721208,120,73
Meta,Base,002774969,98,38
Meta,Base,002792834,72,34
Meta,Base,002817526,45,21
Meta,Base,002867953,40,13
Meta,Base,002882594,69,18
Meta,Base,002928475,79,29
Meta,Base,002961505,84,45
Meta,Base,002971874,70,28
Meta,Base,002976873,33,9
Meta,Base,002988708,24,10
Meta,Base,003023519,80,19
Meta,Base,003034960,70,21
Meta,Base,003100313,91,35
Meta,Base,003105904,72,25
Meta,Base,003117374,87,25
Meta,Base,003171807,77,25
Meta,Base,003284067,72,28
Meta,Base,003357723,57,21
Meta,Base,003411715,55,26
Meta,Base,003471078,76,36
Meta,Base,003522924,71,28
Meta,Base,003544634,65,20
Meta,Base,003588128,21,9
Meta,Base,003619392,74,29
Meta,Base,003662992,65,22
Meta,Base,003705871,84,25
Meta,Base,003730368,66,21
Meta,Base,003897137,62,22
Meta,Base,003964199,65,22
Meta,Base,003994784,70,33
Meta,Base,004035421,72,25
Meta,Base,004071037,50,29
Meta,Base,004279963,84,40
Meta,Base,004382413,61,23
Meta,Base,004383842,114,41
Meta,Base,004578825,79,29
Meta,Base,004673817,95,41
Meta,Base,004739990,97,29
Meta,Base,004771986,50,22
Meta,Base,004786749,70,21
Meta,Base,004801460,37,10
Meta,Base,004977537,91,24
Meta,Base,005036851,35,15
Meta,Base,005107952,84,27
Meta,Base,005116728,71,14
Meta,Base,005164155,33,17
Meta,Base,005254964,45,9
Meta,Base,005280034,63,27
Meta,Base,005315054,82,21
Meta,Base,005420204,69,14
Meta,Base,005463359,32,12
Meta,Base,005536384,76,23
Meta,Base,005669396,91,30
Meta,Base,005745653,30,14
Meta,Base,005828436,35,19
Meta,Base,006018298,76,33
Meta,Base,006081651,60,24
Meta,Base,006092198,82,30
Meta,Base,006189085,71,19
Meta,Base,006249166,20,9
Meta,Base,006315583,57,25
Meta,Base,006413433,58,26
Meta,Base,006431503,46,20
Meta,Base,006443880,80,21
Meta,Base,006457017,69,23
Meta,Base,006508324,42,19
Meta,Base,006512375,66,27
Meta,Base,006528942,100,35
Meta,Base,006599465,82,31
Meta,Base,006733269,88,28
Meta,Base,006767147,79,35
Meta,Base,006822972,72,20
Meta,Base,006851471,61,26
Meta,Base,006936460,74,27
Meta,Base,006996816,82,29
Meta,Base,007024509,98,33
Meta,Base,007076375,43,13
Meta,Base,007212145,87,27
Meta,Base,007232498,43,21
Meta,Base,007278080,102,35
Meta,Base,007300765,61,22
Meta,Base,007471801,40,11
Meta,Base,007514324,71,18
Meta,Base,007585865,74,22
Meta,Base,007671565,76,30
Meta,Base,007756420,69,25
Meta,Base,007780102,60,24
Meta,Base,007784450,81,29
Meta,Base,007896150,84,20
Meta,Base,007991912,105,46
Meta,Base,007993799,70,27
Meta,Base,008006953,97,26
Meta,Base,008015461,60,26
Meta,Base,008042486,49,17
Meta,Base,008111392,34,20
Meta,Base,008147953,50,22
Meta,Base,008166157,32,17
Meta,Base,008231831,48,17
Meta,Base,008398120,91,27
Meta,Base,008412787,65,24
Meta,Base,008458832,79,24
Meta,Base,008603606,88,39
Meta,Base,008656441,95,26
Meta,Base,008760843,60,21
Meta,Base,008839143,63,18
Meta,Base,008850284,50,17
Meta,Base,008872583,78,37
Meta,Base,008912015,62,23
Meta,Base,008988794,30,12
Meta,Base,009039207,40,15
Meta,Base,009055777,62,21
Meta,Base,009129122,64,20
Meta,Base,009304015,52,17
Meta,Base,009320676,89,27
Meta,Base,009399980,46,23
Meta,Base,009469504,43,15
Meta,Base,009481802,90,32
Meta,Base,009501115,34,22
Meta,Base,009530324,76,29
Meta,Base,009539313,70,20
Meta,Base,009555605,33,10
Meta,Base,009771379,112,44
Meta,Base,009774483,61,22
Meta,Prompt,001000833,98,29
Meta,Prompt,001018437,79,24
Meta,Prompt,001082916,69,23
Meta,Prompt,001282585,72,28
Meta,Prompt,001320604,68,17
Meta,Prompt,001416770,35,17
Meta,Prompt,001544104,57,21
Meta,Prompt,001593463,90,33
Meta,Prompt,001722118,41,16
Meta,Prompt,001782394,81,25
Meta,Prompt,001863052,82,21
Meta,Prompt,002003262,82,21
Meta,Prompt,002039574,81,31
Meta,Prompt,002051969,19,7
Meta,Prompt,002079350,40,19
Meta,Prompt,002121102,37,12
Meta,Prompt,002222437,69,19
Meta,Prompt,002242917,65,30
Meta,Prompt,002335619,93,22
Meta,Prompt,002345590,48,18
Meta,Prompt,002367184,63,24
Meta,Prompt,002433679,81,26
Meta,Prompt,002440304,65,26
Meta,Prompt,002480472,98,29
Meta,Prompt,002633958,29,17
Meta,Prompt,002642553,66,20
Meta,Prompt,002721208,120,71
Meta,Prompt,002774969,98,38
Meta,Prompt,002792834,72,32
Meta,Prompt,002817526,45,21
Meta,Prompt,002867953,40,12
Meta,Prompt,002882594,69,19
Meta,Prompt,002928475,79,30
Meta,Prompt,002961505,84,44
Meta,Prompt,002971874,70,27
Meta,Prompt,002976873,33,9
Meta,Prompt,002988708,24,10
Meta,Prompt,003023519,80,20
Meta,Prompt,003034960,70,21
Meta,Prompt,003100313,91,33
Meta,Prompt,003105904,72,25
Meta,Prompt,003117374,87,25
Meta,Prompt,003171807,77,26
Meta,Prompt,003284067,72,27
Meta,Prompt,003357723,57,21
Meta,Prompt,003411715,55,26
Meta,Prompt,003471078,76,36
Meta,Prompt,003522924,71,27
Meta,Prompt,003544634,65,20
Meta,Prompt,003588128,21,9
Meta,Prompt,003619392,74,27
Meta,Prompt,003662992,65,22
Meta,Prompt,003705871,84,24
Meta,Prompt,003730368,66,20
Meta,Prompt,003897137,62,23
Meta,Prompt,003964199,65,19
Meta,Prompt,003994784,70,33
Meta,Prompt,004035421,72,25
Meta,Prompt,004071037,50,29
Meta,Prompt,004279963,84,42
Meta,Prompt,004382413,61,23
Meta,Prompt,004383842,114,40
Meta,Prompt,004578825,79,29
Meta,Prompt,004673817,95,38
Meta,Prompt,004739990,97,29
Meta,Prompt,004771986,50,21
Meta,Prompt,004786749,70,21
Meta,Prompt,004801460,37,10
Meta,Prompt,004977537,91,22
Meta,Prompt,005036851,35,15
Meta,Prompt,005107952,84,28
Meta,Prompt,005116728,71,14
Meta,Prompt,005164155,33,17
Meta,Prompt,005254964,45,9
Meta,Prompt,005280034,63,27
Meta,Prompt,005315054,82,20
Meta,Prompt,005420204,69,14
Meta,Prompt,005463359,32,11
Meta,Prompt,005536384,76,24
Meta,Prompt,005669396,91,27
Meta,Prompt,005745653,30,15
Meta,Prompt,005828436,35,19
Meta,Prompt,006018298,76,32
Meta,Prompt,006081651,60,21
Meta,Prompt,006092198,82,30
Meta,Prompt,006189085,71,16
Meta,Prompt,006249166,20,9
Meta,Prompt,006315583,57,24
Meta,Prompt,006413433,58,25
Meta,Prompt,006431503,46,20
Meta,Prompt,006443880,80,22
Meta,Prompt,006457017,69,22
Meta,Prompt,006508324,42,20
Meta,Prompt,006512375,66,27
Meta,Prompt,006528942,100,35
Meta,Prompt,006599465,82,31
Meta,Prompt,006733269,88,26
Meta,Prompt,006767147,79,34
Meta,Prompt,006822972,72,20
Meta,Prompt,006851471,61,26
Meta,Prompt,006936460,74,27
Meta,Prompt,006996816,82,27
Meta,Prompt,007024509,98,33
Meta,Prompt,007076375,43,13
Meta,Prompt,007212145,87,27
Meta,Prompt,007232498,43,21
Meta,Prompt,007278080,102,35
Meta,Prompt,007300765,61,22
Meta,Prompt,007471801,40,12
Meta,Prompt,007514324,71,18
Meta,Prompt,007585865,74,22
Meta,Prompt,007671565,76,28
Meta,Prompt,007756420,69,23
Meta,Prompt,007780102,60,23
Meta,Prompt,007784450,81,28
Meta,Prompt,007896150,84,20
Meta,Prompt,007991912,105,44
Meta,Prompt,007993799,70,26
Meta,Prompt,008006953,97,24
Meta,Prompt,008015461,60,26
Meta,Prompt,008042486,49,17
Meta,Prompt,008111392,34,20
Meta,Prompt,008147953,50,22
Meta,Prompt,008166157,32,16
Meta,Prompt,008231831,48,17
Meta,Prompt,008398120,91,28
Meta,Prompt,008412787,65,24
Meta,Prompt,008458832,79,23
Meta,Prompt,008603606,88,39
Meta,Prompt,008656441,95,28
Meta,Prompt,008760843,60,21
Meta,Prompt,008839143,63,19
Meta,Prompt,008850284,50,17
Meta,Prompt,008872583,78,38
Meta,Prompt,008912015,62,23
Meta,Prompt,008988794,30,11
Meta,Prompt,009039207,40,14
Meta,Prompt,009055777,62,19
Meta,Prompt,009129122,64,20
Meta,Prompt,009304015,52,16
Meta,Prompt,009320676,89,26
Meta,Prompt,009399980,46,23
Meta,Prompt,009469504,43,16
Meta,Prompt,009481802,90,32
Meta,Prompt,009501115,34,20
Meta,Prompt,009530324,76,28
Meta,Prompt,009539313,70,19
Meta,Prompt,009555605,33,9
Meta,Prompt,009771379,112,45
Meta,Prompt,009774483,61,24
Meta,TSCD .5,001000833,98,33
Meta,TSCD .5,001018437,79,24
Meta,TSCD .5,001082916,69,24
Meta,TSCD .5,001282585,72,28
Meta,TSCD .5,001320604,68,18
Meta,TSCD .5,001416770,35,17
Meta,TSCD .5,001544104,57,22
Meta,TSCD .5,001593463,90,34
Meta,TSCD .5,001722118,41,16
Meta,TSCD .5,001782394,81,28
Meta,TSCD .5,001863052,82,25
Meta,TSCD .5,002003262,82,23
Meta,TSCD .5,002039574,81,31
Meta,TSCD .5,002051969,19,8
Meta,TSCD .5,002079350,40,20
Meta,TSCD .5,002121102,37,13
Meta,TSCD .5,002222437,69,25
Meta,TSCD .5,002242917,65,33
Meta,TSCD .5,002335619,93,24
Meta,TSCD .5,002345590,48,21
Meta,TSCD .5,002367184,63,24
Meta,TSCD .5,002433679,81,25
Meta,TSCD .5,002440304,65,28
Meta,TSCD .5,002480472,98,31
Meta,TSCD .5,002633958,29,18
Meta,TSCD .5,002642553,66,23
Meta,TSCD .5,002721208,120,71
Meta,TSCD .5,002774969,98,37
Meta,TSCD .5,002792834,72,28
Meta,TSCD .5,002817526,45,21
Meta,TSCD .5,002867953,40,13
Meta,TSCD .5,002882594,69,18
Meta,TSCD .5,002928475,79,31
Meta,TSCD .5,002961505,84,44
Meta,TSCD .5,002971874,70,27
Meta,TSCD .5,002976873,33,8
Meta,TSCD .5,002988708,24,9
Meta,TSCD .5,003023519,80,18
Meta,TSCD .5,003034960,70,21
Meta,TSCD .5,003100313,91,34
Meta,TSCD .5,003105904,72,22
Meta,TSCD .5,003117374,87,24
Meta,TSCD .5,003171807,77,25
Meta,TSCD .5,003284067,72,26
Meta,TSCD .5,003357723,57,22
Meta,TSCD .5,003411715,55,27
Meta,TSCD .5,003471078,76,36
Meta,TSCD .5,003522924,71,26
Meta,TSCD .5,003544634,65,20
Meta,TSCD .5,003588128,21,9
Meta,TSCD .5,003619392,74,29
Meta,TSCD .5,003662992,65,22
Meta,TSCD .5,003705871,84,26
Meta,TSCD .5,003730368,66,20
Meta,TSCD .5,003897137,62,24
Meta,TSCD .5,003964199,65,22
Meta,TSCD .5,003994784,70,32
Meta,TSCD .5,004035421,72,25
Meta,TSCD .5,004071037,50,29
Meta,TSCD .5,004279963,84,39
Meta,TSCD .5,004382413,61,24
Meta,TSCD .5,004383842,114,42
Meta,TSCD .5,004578825,79,30
Meta,TSCD .5,004673817,95,40
Meta,TSCD .5,004739990,97,29
Meta,TSCD .5,004771986,50,21
Meta,TSCD .5,004786749,70,20
Meta,TSCD .5,004801460,37,11
Meta,TSCD .5,004977537,91,27
Meta,TSCD .5,005036851,35,15
Meta,TSCD .5,005107952,84,26
Meta,TSCD .5,005116728,71,16
Meta,TSCD .5,005164155,33,17
Meta,TSCD .5,005254964,45,10
Meta,TSCD .5,005280034,63,29
Meta,TSCD .5,005315054,82,18
Meta,TSCD .5,005420204,69,16
Meta,TSCD .5,005463359,32,13
Meta,TSCD .5,005536384,76,26
Meta,TSCD .5,005669396,91,29
Meta,TSCD .5,005745653,30,14
Meta,TSCD .5,005828436,35,22
Meta,TSCD .5,006018298,76,33
Meta,TSCD .5,006081651,60,23
Meta,TSCD .5,006092198,82,31
Meta,TSCD .5,006189085,71,20
Meta,TSCD .5,006249166,20,10
Meta,TSCD .5,006315583,57,24
Meta,TSCD .5,006413433,58,25
Meta,TSCD .5,006431503,46,19
Meta,TSCD .5,006443880,80,20
Meta,TSCD .5,006457017,69,23
Meta,TSCD .5,006508324,42,20
Meta,TSCD .5,006512375,66,25
Meta,TSCD .5,006528942,100,36
Meta,TSCD .5,006599465,82,31
Meta,TSCD .5,006733269,88,29
Meta,TSCD .5,006767147,79,36
Meta,TSCD .5,006822972,72,19
Meta,TSCD .5,006851471,61,26
Meta,TSCD .5,006936460,74,26
Meta,TSCD .5,006996816,82,27
Meta,TSCD .5,007024509,98,31
Meta,TSCD .5,007076375,43,14
Meta,TSCD .5,007212145,87,28
Meta,TSCD .5,007232498,43,19
Meta,TSCD .5,007278080,102,37
Meta,TSCD .5,007300765,61,23
Meta,TSCD .5,007471801,40,13
Meta,TSCD .5,007514324,71,20
Meta,TSCD .5,007585865,74,22
Meta,TSCD .5,007671565,76,31
Meta,TSCD .5,007756420,69,23
Meta,TSCD .5,007780102,60,23
Meta,TSCD .5,007784450,81,27
Meta,TSCD .5,007896150,84,19
Meta,TSCD .5,007991912,105,43
Meta,TSCD .5,007993799,70,26
Meta,TSCD .5,008006953,97,29
Meta,TSCD .5,008015461,60,25
Meta,TSCD .5,008042486,49,18
Meta,TSCD .5,008111392,34,20
Meta,TSCD .5,008147953,50,21
Meta,TSCD .5,008166157,32,16
Meta,TSCD .5,008231831,48,17
Meta,TSCD .5,008398120,91,28
Meta,TSCD .5,008412787,65,25
Meta,TSCD .5,008458832,79,25
Meta,TSCD .5,008603606,88,38
Meta,TSCD .5,008656441,95,26
Meta,TSCD .5,008760843,60,20
Meta,TSCD .5,008839143,63,19
Meta,TSCD .5,008850284,50,18
Meta,TSCD .5,008872583,78,40
Meta,TSCD .5,008912015,62,24
Meta,TSCD .5,008988794,30,12
Meta,TSCD .5,009039207,40,14
Meta,TSCD .5,009055777,62,20
Meta,TSCD .5,009129122,64,19
Meta,TSCD .5,009304015,52,17
Meta,TSCD .5,009320676,89,24
Meta,TSCD .5,009399980,46,23
Meta,TSCD .5,009469504,43,15
Meta,TSCD .5,009481802,90,31
Meta,TSCD .5,009501115,34,21
Meta,TSCD .5,009530324,76,30
Meta,TSCD .5,009539313,70,22
Meta,TSCD .5,009555605,33,9
Meta,TSCD .5,009771379,112,48
Meta,TSCD .5,009774483,61,24
Meta,TSCD 1,001000833,98,33
Meta,TSCD 1,001018437,79,24
Meta,TSCD 1,001082916,69,24
Meta,TSCD 1,001282585,72,28
Meta,TSCD 1,001320604,68,18
Meta,TSCD 1,001416770,35,17
Meta,TSCD 1,001544104,57,21
Meta,TSCD 1,001593463,90,34
Meta,TSCD 1,001722118,41,16
Meta,TSCD 1,001782394,81,28
Meta,TSCD 1,001863052,82,25
Meta,TSCD 1,002003262,82,23
Meta,TSCD 1,002039574,81,31
Meta,TSCD 1,002051969,19,8
Meta,TSCD 1,002079350,40,20
Meta,TSCD 1,002121102,37,13
Meta,TSCD 1,002222437,69,25
Meta,TSCD 1,002242917,65,33
Meta,TSCD 1,002335619,93,23
Meta,TSCD 1,002345590,48,21
Meta,TSCD 1,002367184,63,24
Meta,TSCD 1,002433679,81,25
Meta,TSCD 1,002440304,65,28
Meta,TSCD 1,002480472,98,30
Meta,TSCD 1,002633958,29,18
Meta,TSCD 1,002642553,66,23
Meta,TSCD 1,002721208,120,72
Meta,TSCD 1,002774969,98,37
Meta,TSCD 1,002792834,72,28
Meta,TSCD 1,002817526,45,21
Meta,TSCD 1,002867953,40,13
Meta,TSCD 1,002882594,69,18
Meta,TSCD 1,002928475,79,31
Meta,TSCD 1,002961505,84,44
Meta,TSCD 1,002971874,70,27
Meta,TSCD 1,002976873,33,8
Meta,TSCD 1,002988708,24,9
Meta,TSCD 1,003023519,80,18
Meta,TSCD 1,003034960,70,21
Meta,TSCD 1,003100313,91,34
Meta,TSCD 1,003105904,72,22
Meta,TSCD 1,003117374,87,24
Meta,TSCD 1,003171807,77,25
Meta,TSCD 1,003284067,72,26
Meta,TSCD 1,003357723,57,22
Meta,TSCD 1,003411715,55,27
Meta,TSCD 1,003471078,76,36
Meta,TSCD 1,003522924,71,26
Meta,TSCD 1,003544634,65,20
Meta,TSCD 1,003588128,21,9
Meta,TSCD 1,003619392,74,29
Meta,TSCD 1,003662992,65,22
Meta,TSCD 1,003705871,84,26
Meta,TSCD 1,003730368,66,21
Meta,TSCD 1,003897137,62,24
Meta,TSCD 1,003964199,65,22
Meta,TSCD 1,003994784,70,32
Meta,TSCD 1,004035421,72,25
Meta,TSCD 1,004071037,50,29
Meta,TSCD 1,004279963,84,39
Meta,TSCD 1,004382413,61,24
Meta,TSCD 1,004383842,114,42
Meta,TSCD 1,004578825,79,30
Meta,TSCD 1,004673817,95,40
Meta,TSCD 1,004739990,97,29
Meta,TSCD 1,004771986,50,22
Meta,TSCD 1,004786749,70,20
Meta,TSCD 1,004801460,37,11
Meta,TSCD 1,004977537,91,26
Meta,TSCD 1,005036851,35,15
Meta,TSCD 1,005107952,84,26
Meta,TSCD 1,005116728,71,16
Meta,TSCD 1,005164155,33,17
Meta,TSCD 1,005254964,45,9
Meta,TSCD 1,005280034,63,29
Meta,TSCD 1,005315054,82,18
Meta,TSCD 1,005420204,69,16
Meta,TSCD 1,005463359,32,13
Meta,TSCD 1,005536384,76,26
Meta,TSCD 1,005669396,91,30
Meta,TSCD 1,005745653,30,14
Meta,TSCD 1,005828436,35,21
Meta,TSCD 1,006018298,76,33
Meta,TSCD 1,006081651,60,23
Meta,TSCD 1,006092198,82,31
Meta,TSCD 1,006189085,71,20
Meta,TSCD 1,006249166,20,10
Meta,TSCD 1,006315583,57,24
Meta,TSCD 1,006413433,58,25
Meta,TSCD 1,006431503,46,19
Meta,TSCD 1,006443880,80,20
Meta,TSCD 1,006457017,69,24
Meta,TSCD 1,006508324,42,20
Meta,TSCD 1,006512375,66,25
Meta,TSCD 1,006528942,100,36
Meta,TSCD 1,006599465,82,31
Meta,TSCD 1,006733269,88,29
Meta,TSCD 1,006767147,79,36
Meta,TSCD 1,006822972,72,19
Meta,TSCD 1,006851471,61,26
Meta,TSCD 1,006936460,74,26
Meta,TSCD 1,006996816,82,27
Meta,TSCD 1,007024509,98,31
Meta,TSCD 1,007076375,43,14
Meta,TSCD 1,007212145,87,28
Meta,TSCD 1,007232498,43,19
Meta,TSCD 1,007278080,102,37
Meta,TSCD 1,007300765,61,23
Meta,TSCD 1,007471801,40,13
Meta,TSCD 1,007514324,71,20
Meta,TSCD 1,007585865,74,22
Meta,TSCD 1,007671565,76,32
Meta,TSCD 1,007756420,69,23
Meta,TSCD 1,007780102,60,24
Meta,TSCD 1,007784450,81,27
Meta,TSCD 1,007896150,84,19
Meta,TSCD 1,007991912,105,43
Meta,TSCD 1,007993799,70,26
Meta,TSCD 1,008006953,97,29
Meta,TSCD 1,008015461,60,24
Meta,TSCD 1,008042486,49,18
Meta,TSCD 1,008111392,34,20
Meta,TSCD 1,008147953,50,21
Meta,TSCD 1,008166157,32,16
Meta,TSCD 1,008231831,48,17
Meta,TSCD 1,008398120,91,28
Meta,TSCD 1,008412787,65,25
Meta,TSCD 1,008458832,79,26
Meta,TSCD 1,008603606,88,38
Meta,TSCD 1,008656441,95,26
Meta,TSCD 1,008760843,60,20
Meta,TSCD 1,008839143,63,19
Meta,TSCD 1,008850284,50,18
Meta,TSCD 1,008872583,78,40
Meta,TSCD 1,008912015,62,24
Meta,TSCD 1,008988794,30,12
Meta,TSCD 1,009039207,40,15
Meta,TSCD 1,009055777,62,20
Meta,TSCD 1,009129122,64,19
Meta,TSCD 1,009304015,52,17
Meta,TSCD 1,009320676,89,24
Meta,TSCD 1,009399980,46,23
Meta,TSCD 1,009469504,43,15
Meta,TSCD 1,009481802,90,32
Meta,TSCD 1,009501115,34,21
Meta,TSCD 1,009530324,76,30
Meta,TSCD 1,009539313,70,22
Meta,TSCD 1,009555605,33,9
Meta,TSCD 1,009771379,112,48
Meta,TSCD 1,009774483,61,24
Meta,TSCD 1.5,001000833,98,33
Meta,TSCD 1.5,001018437,79,25
Meta,TSCD 1.5,001082916,69,24
Meta,TSCD 1.5,001282585,72,28
Meta,TSCD 1.5,001320604,68,18
Meta,TSCD 1.5,001416770,35,17
Meta,TSCD 1.5,001544104,57,21
Meta,TSCD 1.5,001593463,90,34
Meta,TSCD 1.5,001722118,41,16
Meta,TSCD 1.5,001782394,81,28
Meta,TSCD 1.5,001863052,82,25
Meta,TSCD 1.5,002003262,82,23
Meta,TSCD 1.5,002039574,81,31
Meta,TSCD 1.5,002051969,19,8
Meta,TSCD 1.5,002079350,40,20
Meta,TSCD 1.5,002121102,37,13
Meta,TSCD 1.5,002222437,69,26
Meta,TSCD 1.5,002242917,65,33
Meta,TSCD 1.5,002335619,93,24
Meta,TSCD 1.5,002345590,48,21
Meta,TSCD 1.5,002367184,63,24
Meta,TSCD 1.5,002433679,81,25
Meta,TSCD 1.5,002440304,65,30
Meta,TSCD 1.5,002480472,98,30
Meta,TSCD 1.5,002633958,29,18
Meta,TSCD 1.5,002642553,66,23
Meta,TSCD 1.5,002721208,120,72
Meta,TSCD 1.5,002774969,98,37
Meta,TSCD 1.5,002792834,72,28
Meta,TSCD 1.5,002817526,45,21
Meta,TSCD 1.5,002867953,40,13
Meta,TSCD 1.5,002882594,69,18
Meta,TSCD 1.5,002928475,79,30
Meta,TSCD 1.5,002961505,84,44
Meta,TSCD 1.5,002971874,70,27
Meta,TSCD 1.5,002976873,33,8
Meta,TSCD 1.5,002988708,24,9
Meta,TSCD 1.5,003023519,80,18
Meta,TSCD 1.5,003034960,70,21
Meta,TSCD 1.5,003100313,91,34
Meta,TSCD 1.5,003105904,72,22
Meta,TSCD 1.5,003117374,87,25
Meta,TSCD 1.5,003171807,77,25
Meta,TSCD 1.5,003284067,72,25
Meta,TSCD 1.5,003357723,57,22
Meta,TSCD 1.5,003411715,55,27
Meta,TSCD 1.5,003471078,76,35
Meta,TSCD 1.5,003522924,71,26
Meta,TSCD 1.5,003544634,65,20
Meta,TSCD 1.5,003588128,21,9
Meta,TSCD 1.5,003619392,74,29
Meta,TSCD 1.5,003662992,65,22
Meta,TSCD 1.5,003705871,84,26
Meta,TSCD 1.5,003730368,66,21
Meta,TSCD 1.5,003897137,62,24
Meta,TSCD 1.5,003964199,65,22
Meta,TSCD 1.5,003994784,70,32
Meta,TSCD 1.5,004035421,72,25
Meta,TSCD 1.5,004071037,50,29
Meta,TSCD 1.5,004279963,84,39
Meta,TSCD 1.5,004382413,61,24
Meta,TSCD 1.5,004383842,114,41
Meta,TSCD 1.5,004578825,79,30
Meta,TSCD 1.5,004673817,95,41
Meta,TSCD 1.5,004739990,97,29
Meta,TSCD 1.5,004771986,50,22
Meta,TSCD 1.5,004786749,70,20
Meta,TSCD 1.5,004801460,37,11
Meta,TSCD 1.5,004977537,91,26
Meta,TSCD 1.5,005036851,35,15
Meta,TSCD 1.5,005107952,84,26
Meta,TSCD 1.5,005116728,71,16
Meta,TSCD 1.5,005164155,33,17
Meta,TSCD 1.5,005254964,45,9
Meta,TSCD 1.5,005280034,63,29
Meta,TSCD 1.5,005315054,82,18
Meta,TSCD 1.5,005420204,69,16
Meta,TSCD 1.5,005463359,32,13
Meta,TSCD 1.5,005536384,76,26
Meta,TSCD 1.5,005669396,91,30
Meta,TSCD 1.5,005745653,30,14
Meta,TSCD 1.5,005828436,35,20
Meta,TSCD 1.5,006018298,76,33
Meta,TSCD 1.5,006081651,60,22
Meta,TSCD 1.5,006092198,82,31
Meta,TSCD 1.5,006189085,71,20
Meta,TSCD 1.5,006249166,20,10
Meta,TSCD 1.5,006315583,57,24
Meta,TSCD 1.5,006413433,58,25
Meta,TSCD 1.5,006431503,46,19
Meta,TSCD 1.5,006443880,80,20
Meta,TSCD 1.5,006457017,69,24
Meta,TSCD 1.5,006508324,42,20
Meta,TSCD 1.5,006512375,66,25
Meta,TSCD 1.5,006528942,100,36
Meta,TSCD 1.5,006599465,82,31
Meta,TSCD 1.5,006733269,88,29
Meta,TSCD 1.5,006767147,79,37
Meta,TSCD 1.5,006822972,72,19
Meta,TSCD 1.5,006851471,61,26
Meta,TSCD 1.5,006936460,74,26
Meta,TSCD 1.5,006996816,82,27
Meta,TSCD 1.5,007024509,98,31
Meta,TSCD 1.5,007076375,43,15
Meta,TSCD 1.5,007212145,87,29
Meta,TSCD 1.5,007232498,43,19
Meta,TSCD 1.5,007278080,102,37
Meta,TSCD 1.5,007300765,61,23
Meta,TSCD 1.5,007471801,40,13
